English Cardname,German Cardname,Mana Value,Color Identity,Rarity,Set,Collector-Number,Value (€),URL
"Jace, Wielder of Mysteries","Jace, Beherrscher der Mysterien",4,U,RARE,WAR,54,"2,49",https://scryfall.com/card/war/54/jace-wielder-of-mysteries?utm_source=api
Wonder,Wundersame Mauer,4,U,UNCOMMON,EMA,77,"0,32",https://scryfall.com/card/ema/77/wonder?utm_source=api
Kitesail Larcenist,Lenkdrachen-Diebin,3,U,RARE,LCI,61,"0,55",https://scryfall.com/card/lci/61/kitesail-larcenist?utm_source=api
Archetype of Imagination,Sinnbild der Vorstellungskraft,6,U,UNCOMMON,C18,81,"0,73",https://scryfall.com/card/c18/81/archetype-of-imagination?utm_source=api
Wayward Swordtooth,Halsstarriger Schwertzahn,3,G,RARE,RIX,150,"1,80",https://scryfall.com/card/rix/150/wayward-swordtooth?utm_source=api
Snowfield Sinkhole,Schneefeld-Doline,0,BW,COMMON,CLB,915,"0,16",https://scryfall.com/card/clb/915/snowfield-sinkhole?utm_source=api
Open the Way,Öffnung des Weges,2,G,RARE,MAT,23,"5,24",https://scryfall.com/card/mat/23/open-the-way?utm_source=api
"Domri, Anarch of Bolas","Domri, Anarchist des Bolas",3,GR,RARE,WAR,191,"1,04",https://scryfall.com/card/war/191/domri-anarch-of-bolas?utm_source=api
